,text,place,uri,collector,area
86724,Όνος εις άχυρα βούς επί φάτνην,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155476,"Νεστορίδης, Κ.",Μικρά Ασία
86731,Όξω μου παρόξω μου ας είν' κι η αδελφή μου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176159,"Νεστορίδης, Κ.",Λακωνία
86739,"Όπ' ακούς πολλά λάχανα, βάστα μικρά καλάθια",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155380,"Νεστορίδης, Κ.",Μικρά Ασία
86749,Όπ' έχει φίλο Μυλωνά από χαραγής αλέθει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/284751,"Νεστορίδης, Κ.",Μικρά Ασία
86756,Όποιο δάχτυλο κι' αν κόψης πονεί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176156,"Νεστορίδης, Κ.",Λακωνία
86763,Όποιος αγαπά τή γλύκα ένα ένα τρώει τά σύκα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176157,"Νεστορίδης, Κ.",Εύβοια
86764,"Όποιος αγαπά το σκύλο μου, αγαπά και το παιδί μου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155377,"Νεστορίδης, Κ.",Αχαΐα
86778,"Όποιος ανακατώνεται με τα πίτουρα, τον τρων οι κόττες",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155387,"Νεστορίδης, Κ.",Εύβοια
86779,"Όποιος ανακατώνεται με τα πίτουρα, τον τσιμπούν οι κόττες",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155388,"Νεστορίδης, Κ.",Εύβοια
86783,Όποιος βάζει το κρασί ςτην κοιλιά έχει το νου του ςτο βαένι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/274097,"Νεστορίδης, Κ.",Λακωνία
86786,Όποιος βρίσκει και γαμεί τύφλα τ' κι αν παντρευτή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265605,"Νεστορίδης, Κ.",Αρκαδία
86801,Όποιος δε μιλεί τον θάφτουν ζωντανό,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/289969,"Νεστορίδης, Κ.",Θράκη
86802,Όποιος δε μπορεί γαϊδουρινά φωνάζει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/284752,"Νεστορίδης, Κ.",Αχαΐα
86815,Όποιος δεν επέρασε θάλασσα Θεό δεν εδόξασε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176172,"Νεστορίδης, Κ.",Θράκη
86820,Όποιος δεν πέρασε θάλασσα δεν ξέρει τι 'ν' ο κόσμος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176173,"Νεστορίδης, Κ.",Εύβοια
86821,"Όποιος δεν πληρώνει την πουτσα του, πληρώνει το γιατρό",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265606,"Νεστορίδης, Κ.",Αρκαδία
86827,"Όποιος έφαγε μέλι, μυιαγιάζεται",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/280353,"Νεστορίδης, Κ.",Ήπειρος
86828,Όποιος έχ' αλεύρι φκειάνει καρβέλι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176181,"Νεστορίδης, Κ.",Εύβοια
86835,Όποιος έχει μάτια κουρεύει και δεν έχει κωλοκουρεύει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/280295,"Νεστορίδης, Κ.",Αρκαδία
86843,Όποιος επρόλαβε τον Κύριον εδόξασε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265607,"Νεστορίδης, Κ.",Αμοργός
86854,Όποιος ζυγίζει με τα μέτρα δεν ξυγκεύει σαν την πέτρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/282452,"Νεστορίδης, Κ.",Εύβοια
86859,Όποιος θέλει να δείρη τη γυναίκα του να πάρη πρόβειο κρέας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265608,"Νεστορίδης, Κ.",Μικρά Ασία
86861,Όποιος θέλει να ζυμώση προετοιμάζει τα χέρια του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176188,"Νεστορίδης, Κ.",Μικρά Ασία
86867,Όποιος θέλει τάδικα χάνει κα το δίκαιο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155394,"Νεστορίδης, Κ.",Αρκαδία
86868,Όποιος θέλει το καλό μου με κάνει και κλαίω κι όποιος θέλει το κακό μου με κάνει και γελάω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208549,"Νεστορίδης, Κ.",Αρκαδία
86896,Όποιος μ' αγαπά με κάν' και κλαίω κι όποιος με μισεί με κάν' και γελάω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208551,"Νεστορίδης, Κ.",Ήπειρος
86897,Όποιος με πιάση προκοπή να μην ιδή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208258,"Νεστορίδης, Κ.",Επτάνησος
86899,Όποιος με πχιάν προκοπή δε φκιάν κι όποιος με τρώει ψωμί δε χορταίνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208259,"Νεστορίδης, Κ.",Λακωνία
86909,Όποιος παίζει με τα κοπέλια δεν του λείπουν τα καπανέλια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265285,"Νεστορίδης, Κ.",Αχαΐα
86910,Όποιος παιδομάθαινε δε γεροντάφηνε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265479,"Νεστορίδης, Κ.",Αρκαδία
86914,Όποιος πέρασ' από τη Σύνοδο έφαγε ψάρι σύνορο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265609,"Νεστορίδης, Κ.",Θράκη
86927,Όποιος περηφανεύεται γλήγορα ταπεινώνεται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265610,"Νεστορίδης, Κ.",Θεσπρωτία
86929,Όποιος περνά από λιγιά και δεν κόψει κλωνάρι ανάθεμα τα νιάτα του κι' ας είναι παλληκάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/277371,"Νεστορίδης, Κ.",Αρκαδία
86938,Όποιος πηδά πολλά παλούκια θα περδικλωθή εις κανένα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208552,"Νεστορίδης, Κ.",Θράκη
86946,Όποιος πουλάει το σπίτι του πουλάει τη Βενετία,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265611,"Νεστορίδης, Κ.",Αρκαδία
86948,Όποιος πρόφτασε τον Κύριον είδε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265476,"Νεστορίδης, Κ.",Αμοργός
86957,Όποιος τες νύχτες περπατεί για κλέφτει για πορνεύει για μαύρα μάτια αγαπά για σκοτωμό γυρεύει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/288058,"Νεστορίδης, Κ.",Ρόδος
86978,"Όπου γάμος και χαρά τρέχα Γιάννη, λίξουρε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155407,"Νεστορίδης, Κ.",Λακωνία
86979,Όπου δε σώνεις μην απλώνης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155405,"Νεστορίδης, Κ.",Κρήτη
86980,"Όπου δεν αδειάζει μπεσίκια, αδειάζει κρεββάτια",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155408,"Νεστορίδης, Κ.",Θεσπρωτία
86984,Όπου δής πλάτανο και βάτο τρέχει και νερό από κάτω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265613,"Νεστορίδης, Κ.",Θεσπρωτία
86986,Όπου δης βρουλιά και βάτο τρέχει και νερό από κάτω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/286793,"Νεστορίδης, Κ.",Θεσπρωτία
86990,Όπου είναι στάρι δεν είναι κοτοπουλια κι όπου είναι κοτοπουλια δεν είναι στάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265477,"Νεστορίδης, Κ.",Λακωνία
87001,Όπου Θεός βούλεται νικάται φύσεως τάξις,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176202,"Νεστορίδης, Κ.",Αχαΐα
87012,Όπου μεθούνε εκεί όλα τα κακά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/280354,"Νεστορίδης, Κ.",Νάξος
87027,Όπου πηδάει η γίδα θα πηδήση και το κατσίκι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176210,"Νεστορίδης, Κ.",Αρκαδία
87035,Όπου τα βγάλ' η άκρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155409,"Νεστορίδης, Κ.",Κύπρος
87047,Όπως είνε τανδρόγυνο το ξαναπαντρεμένο έτσι είναι το φαεί το ξαναζεσταμένο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/288076,"Νεστορίδης, Κ.",Επτάνησος
87069,Όσα να διαβάση η αλεπού τα φιρμάνια πήγαν το τομάρι της στο παζάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155413,"Νεστορίδης, Κ.",Αρκαδία
87088,Όσα σκυλιά λυσσιάξανε όλα λύσσα τάπιασε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/277709,"Νεστορίδης, Κ.",Εύβοια
87119,Όσο κάθετ' ο κερατάς τόσο τα κέρατά τ' αυξάνουν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208265,"Νεστορίδης, Κ.",Μακεδονία
87121,Όσο κάθεται η πίττα τόσο καλύτερος φίλος θαρθή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265615,"Νεστορίδης, Κ.",Εύβοια
87125,"Όσο καιρό μ' ωρμήνευες, τόσες μυίγες έκατσαν στην πούτσα του γαϊδάρου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208560,"Νεστορίδης, Κ.",Ρόδος
87129,Όσο ν' άρθουν της αλεπούς τα φιρμάνια της ήλθαν τα τομάρια της,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155414,"Νεστορίδης, Κ.",Αχαΐα
87131,Όσο να γίνη γαμπρός περνά' ο πόνος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176217,"Νεστορίδης, Κ.",Λακωνία
87133,Όσο να ξυσ' η αλεπού το μουνί της παέι το πετσί της στο παζάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155384,"Νεστορίδης, Κ.",Αρκαδία
87134,Όσο να πάη η αλεπού τα φιρμάνια της πάνε τα τομάρια της,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155415,"Νεστορίδης, Κ.",Αχαΐα
87144,Όσο να τόρθουν τα γαλάδια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176226,"Νεστορίδης, Κ.",Ήπειρος
87165,Όστις γεννηθή στη φυλακή τη φυλακή θυμάται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176231,"Νεστορίδης, Κ.",Αμοργός
87173,Όταν ασπρίσ' ο κόρακας και γίνη περιστέρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/272343,"Νεστορίδης, Κ.",Αρκαδία
87175,Όταν βγαίνης με το λύκο ολίγο κυνήγι θα φας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/277711,"Νεστορίδης, Κ.",Μακεδονία
87189,"Όταν έπρεπε, δεν έβρεχε και τώρα χαλαζώνει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265619,"Νεστορίδης, Κ.",Ήπειρος
87210,"Όταν ξαναγίνω νύφη, θα ξέρω να προσκυνάω",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/288077,"Νεστορίδης, Κ.",Ανατολική Θράκη
87225,"Ότι γράφει, δεν ξεγράφει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176240,"Νεστορίδης, Κ.",Αρκαδία
87226,Ότι έχει να κάμη κανείς να το κάμη μόνος του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/282456,"Νεστορίδης, Κ.",Κεφαλληνία
87232,Ότι μέσα κι έξω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/282457,"Νεστορίδης, Κ.",Λακωνία
87234,Όχεντρα και μητρυιά εγκαρδιακά αδέρφια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/282413,"Νεστορίδης, Κ.",Επτάνησος
87236,Όχι γριά μον ζαρωμένη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176260,"Νεστορίδης, Κ.",Θράκη
87245,Οι γυαλάδες κλέφτες θα γίνουν ;,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176114,"Νεστορίδης, Κ.",Μακεδονία
87249,Οι ένδεκα τρέφουν τόν ένα κι ο ένας τούς ένδεκα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176131,"Νεστορίδης, Κ.",Αρκαδία
87252,Οι καλόγεροι είναι κάρβουνα που αναμμένα καίουν και σβυστά μαυρίζουν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208529,"Νεστορίδης, Κ.",Αρκαδία
87258,Οι Μανιάται στη βουλή κι οι βλάχοι στη βοσκή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208249,"Νεστορίδης, Κ.",Αρκαδία
87259,Οι μέρες είναι κολλητές,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/175918,"Νεστορίδης, Κ.",Θεσπρωτία
87260,Οι μικροί δουλεύουν κι οι μεγάλοι πεινούν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176133,"Νεστορίδης, Κ.",Θεσπρωτία
87264,"Οι ξένοι τρών το βιός μας, ημείς τι καθήμεθα;",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155309,"Νεστορίδης, Κ.",Αμοργός
87266,Οι πεινασμένοι δεν ξεφλουδίζουν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265599,"Νεστορίδης, Κ.",Αχαΐα
87269,Οι πίκρες κόβουν γόνατα κι οι λογισμοί γερνούσι κι εγώ τάχω και τα δυό πώς δεν με καταλούσι;,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208432,"Νεστορίδης, Κ.",Ρόδος
87273,Οι πολλές μαμές βγάζουν το παιδί στραβό,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265579,"Νεστορίδης, Κ.",Θεσπρωτία
87274,Οι πολλοί θέλουν πολλά κι ο ένας απ' όλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176143,"Νεστορίδης, Κ.",Λακωνία
87279,Οι σωστοί λογαριασμοί κάνουν καλούς φίλους,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208533,"Νεστορίδης, Κ.",Θεσπρωτία
87280,Οίτι δεν έχει κανείς επιθυμεί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176241,"Νεστορίδης, Κ.",Επτάνησος
87287,Ολίγη φωτιά και σιγανή ψήνει καλά το φαεί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/289966,"Νεστορίδης, Κ.",Κεφαλληνία
87288,Ολούθε είναι ξαστεριά μον σους Σταθιανούς βρέχει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155375,"Νεστορίδης, Κ.",Μακεδονία
87302,Οπίσω από το βασιλιά (και) κόψες του και δοκανίκι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208279,"Νεστορίδης, Κ.",Λακωνία
87314,Ορφανόν και χήραν ανατιλήψεται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155410,"Νεστορίδης, Κ.",Πόντος
87316,Οσο να μπή και να βγή η νύφη βγήκαν του γαμπρού τα μάτια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176222,"Νεστορίδης, Κ.",Αρκαδία
87318,"Οταν έρθ' η γνώση, πάει η ανδρεία",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176234,"Νεστορίδης, Κ.",Αρκαδία
87321,"Οτι δούλευα, κυρά μου, σε σένα τα στελνα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176228,"Νεστορίδης, Κ.",Κρήτη
87323,Ούκ έχει που την κεφαλήν κλίνη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176254,"Νεστορίδης, Κ.",Λακωνία
87326,"Ούλοι κακό μου θέλουνε οι πέτρες και τα ξύλα.  Κι άν ακουμπήσω σε δεντρί, μαραίνονται τα φύλλα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/268934,"Νεστορίδης, Κ.",Αρκαδία
87335,Ούτε γάμος χωρίς παιγνίδι ούτε φάβα χωρίς λάδι και κρεμμύδι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155429,"Νεστορίδης, Κ.",Θεσπρωτία
87340,Ούτε εγώ ήμουνα ούτε συ να τα πιστέψης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208566,"Νεστορίδης, Κ.",Αχαΐα
87344,Ούτε ζωγραφιστόν δε θέλει να τον ιδή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155430,"Νεστορίδης, Κ.",Αρκαδία
87360,Ούτε στον ήλιο ούτε στον ίσκιο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176257,"Νεστορίδης, Κ.",Ανατολική Θράκη
87365,"Ούτε τη δέρνει, ούτε τη γδέρνει (ούτε;) παλούκι της βάζει στον κώλο της",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176250,"Νεστορίδης, Κ.",Θεσπρωτία
87369,"Ούτε το διάβολο ν' απαντήσης, ούτε το σταυρό σου να κάνης",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176259,"Νεστορίδης, Κ.",Λακωνία
87373,Ουδέν καλόν χωρίς κακόν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/268933,"Νεστορίδης, Κ.",Αμοργός
87374,Ουδείς αναμάρτητος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155428,"Νεστορίδης, Κ.",Αρκαδία
87378,Ουκ μήλο δε βολεί να ρίξης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/282412,"Νεστορίδης, Κ.",Μικρά Ασία
87389,Πάει πρίμα η δουλειά μας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176269,"Νεστορίδης, Κ.",Θεσπρωτία
87390,Πάλιν πλοία και δίκτυα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176274,"Νεστορίδης, Κ.",Αμοργός
87395,Πάν τ' αυγά και τα καλάθια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155435,"Νεστορίδης, Κ.",Ανατολική Θράκη
87397,Πάνω κάτω στο κατώγι κουράστηκ' η καϊμένη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/272400,"Νεστορίδης, Κ.",Ρόδος
87399,Πάνω σύρτε για νερό για σκομπόνομαι και ζυμώσετε ποιά από σας καλέσουν στο γάμω πάω εγώ,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176270,"Νεστορίδης, Κ.",Αρκαδία
87400,Πάρ' ανθρώπου απ' άνθρωπο και σκυλί από κοπάδι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155032,"Νεστορίδης, Κ.",Αρκαδία
87404,Πάρε κάβο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265621,"Νεστορίδης, Κ.",Θράκη
87405,Πάρε και συ την απάνω μεριά της μαγκούρας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265491,"Νεστορίδης, Κ.",Αρκαδία
87411,Πάρε τα κομμάτια τους,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265489,"Νεστορίδης, Κ.",Μακεδονία
87422,Πάτησε στην αγκιναρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265625,"Νεστορίδης, Κ.",Ιωάννινα
87427,Παίζ' ο γάτος με τα ποντίκια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265482,"Νεστορίδης, Κ.",Αχαΐα
87429,Παίζει κακό παιγνίδι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265481,"Νεστορίδης, Κ.",Αχαΐα
87431,Παίζειν εν ου παικτοίς,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265168,"Νεστορίδης, Κ.",Μακεδονία
87434,Παίξε το τζόγο σου και χάσε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265488,"Νεστορίδης, Κ.",Αρκαδία
87436,Παίρνει και δίνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176271,"Νεστορίδης, Κ.",Θεσπρωτία
87437,Παίρνει ν' ανθίσει το δεντρί κι ο πάγος και ο αέρας δεν τ' αφίνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155432,"Νεστορίδης, Κ.",Εύβοια
87438,Παίρνει νερό,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/286733,"Νεστορίδης, Κ.",Μικρά Ασία
87441,Παίρνει τα όρη σκούζοντα και τα βουνά ρωτώντα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208570,"Νεστορίδης, Κ.",Μακεδονία
87442,"Παίρνεις άντρα, παίρνεις χωριό",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155433,"Νεστορίδης, Κ.",Θεσπρωτία
87452,Παλιό κόσκινο καινούργιο τρυπητήρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/267666,"Νεστορίδης, Κ.",Ήπειρος
87462,Παν κι ακόμα παν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208603,"Νεστορίδης, Κ.",Θράκη
87468,Πανταχού παρών,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265501,"Νεστορίδης, Κ.",Ήπειρος
87477,Παξοί κι' Αντίπαξοι λόντρες δεκάξη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265483,"Νεστορίδης, Κ.",Νάξος
87478,Παπά και γάϊδαρο απ' το βράδυ,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265487,"Νεστορίδης, Κ.",Θράκη
87480,"Παπά τ΄αμπέλι, παπά το χωράφι",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265484,"Νεστορίδης, Κ.",Λακωνία
87481,Παπά το γαϊδούρι παπά το σαμάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265490,"Νεστορίδης, Κ.",Λακωνία
87487,Παπάς είσαι για π'λάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265486,"Νεστορίδης, Κ.",Σκύρος
87492,"Παπαδιά, που 'ν' ο παπάς; Πάει στο μύλο ο κιαρατάς",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265639,"Νεστορίδης, Κ.",Μακεδονία
87500,Παράσχου Κύριε!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/274135,"Νεστορίδης, Κ.",Αχαΐα
87504,Παραμπρός έπρεπαν τάχυρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265622,"Νεστορίδης, Κ.",Νάξος
87510,Παρελθόντα μεγαλεία,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/280297,"Νεστορίδης, Κ.",Λακωνία
87513,Παρηγοριά στον άρρωστο όσο να βγη η ψυχή του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265623,"Νεστορίδης, Κ.",Αρκαδία
87514,Παστρικά και γλήγορα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265624,"Νεστορίδης, Κ.",Μικρά Ασία
87527,Πατσαβούρια τάκανε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/270289,"Νεστορίδης, Κ.",Μικρά Ασία
87531,Πέντε + (45) Γιάννηδες ενού κοκκόρου γνώδη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176279,"Νεστορίδης, Κ.",Κάρπαθος
87541,Πέντι νάν οι μέρες του κι εκείνες στο κρεββάτι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176280,"Νεστορίδης, Κ.",Σκύρος
87546,Πέρασ' η μπογιά του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/284758,"Νεστορίδης, Κ.",Κρήτη
87547,Πέρασ΄ ο καιρός πόδεναν τα σκυλιά με τα λουκάνικα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/267667,"Νεστορίδης, Κ.",Μακεδονία
87556,Πέταξε το πουλί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265627,"Νεστορίδης, Κ.",Αρκαδία
87560,"Πέτρα που κυλάει, δε μαλλιάζει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265630,"Νεστορίδης, Κ.",Μικρά Ασία
87562,Πέτρα σκανδάλου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265629,"Νεστορίδης, Κ.",Ανατολική Θράκη
87575,Περηφάνεια δίχως έχει τύφλα ναχη που την έχει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265626,"Νεστορίδης, Κ.",Θεσπρωτία
87579,Περί ορέξεως ουδείς λόγος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208573,"Νεστορίδης, Κ.",Αμοργός
87592,Περνά ζωή χαρισάμενη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176283,"Νεστορίδης, Κ.",Αχαΐα
87594,Περπατεί και μύγες χάφτει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/284759,"Νεστορίδης, Κ.",Θεσπρωτία
87608,Πετάει τη σκούφια του για καυγά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176284,"Νεστορίδης, Κ.",Αρκαδία
87613,Πετιέται σαν η πορδή από το βρακί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265628,"Νεστορίδης, Κ.",Ήπειρος
87623,Πήγαινε στο διάβολο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176285,"Νεστορίδης, Κ.",Θράκη
87630,Πήγε πίσω του ήλιου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/176286,"Νεστορίδης, Κ.",Ήπειρος
87631,Πήγε σαν το σκύλι στ' αμπέλι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265631,"Νεστορίδης, Κ.",Αρκαδία
87632,Πήγε στο βρόντο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155445,"Νεστορίδης, Κ.",Ανατολική Θράκη
87635,Πήγε το σκατό στην παλάσκα του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265632,"Νεστορίδης, Κ.",Ανατολική Θράκη
87639,Πήρ' ο κουτσός κατήφορο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/208582,"Νεστορίδης, Κ.",Μακεδονία
87640,Πήρ' όλη τη μπόρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/284760,"Νεστορίδης, Κ.",Ιωάννινα
87646,Πήρε τα βρεμένα του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155448,"Νεστορίδης, Κ.",Ανατολική Θράκη
87647,Πήρε τα κατουρημένα του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155449,"Νεστορίδης, Κ.",Ανατολική Θράκη
87648,Πήρε τα μάτια του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/280355,"Νεστορίδης, Κ.",Ανατολική Θράκη
87649,Πήρε τα μπαούλα του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155451,"Νεστορίδης, Κ.",Μικρά Ασία
87650,Πήρε τα πλυμένα και τ' απλυτά του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/155450,"Νεστορίδης, Κ.",Μικρά Ασία
87651,Πήρε τή μερίδα τού λέοντος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/276922,"Νεστορίδης, Κ.",Λακωνία
87652,Πήρε την κάτω βόλτα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265492,"Νεστορίδης, Κ.",Ανατολική Θράκη
